
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
74ALS00_SOP                      U19                                0   3      1   1   6 14         14 1 VCC                 (100-5-13)
74ALS04_SOP                      U14                               43   1      1   1   1 1           1 0 HS_CLK              (190-9-13)
74ALS04_SOP                      U14                               43   1      2   2   1 2           2 0 $1N47               (190-13-13)
74ALS04_SOP                      U14                               44   1      1   1   2 3           3 0 HS_CLK              (190-9-13)
74ALS04_SOP                      U14                               44   1      2   2   2 4           4 0 $1N45               (190-11-13)
74ALS04_SOP                      U14                               46   1      1   1   3 5           5 0 GND                 (91-1-13)
74ALS04_SOP                      U14                               46   1      2   2   3 6           6 0                     (0-0-0)
74ALS04_SOP                      U14                               47   1      1   1   4 9           9 0 GND                 (91-1-13)
74ALS04_SOP                      U14                               47   1      2   2   4 8           8 0                     (0-0-0)
74ALS04_SOP                      U14                               48   1      1   1   5 11         11 0 $2N21               (194-9-13)
74ALS04_SOP                      U14                               48   1      2   2   5 10         10 0 $2N25               (194-11-13)
74ALS04_SOP                      U14                               45   1      1   1   6 13         13 0 $2N15               (194-3-13)
74ALS04_SOP                      U14                               45   1      2   2   6 12         12 0 $2N17               (194-5-13)
74ALS04_SOP                      U14                                0   2      1   1   7 7           7 1 GND                 (91-1-13)
74ALS04_SOP                      U14                                0   3      1   1   8 14         14 1 VCC                 (100-5-13)
74ALS30_SOP                      U15                               53   1      1   1   1 1           1 0 HS3                 (190-33-13)
74ALS30_SOP                      U15                               53   1      2   1   1 2           2 0 HS2                 (190-21-13)
74ALS30_SOP                      U15                               53   1      3   1   1 3           3 0 HS1                 (190-19-13)
74ALS30_SOP                      U15                               53   1      4   1   1 4           4 0 HS0                 (190-17-13)
74ALS30_SOP                      U15                               53   1      5   1   1 5           5 0 HS5                 (190-27-13)
74ALS30_SOP                      U15                               53   1      6   1   1 6           6 0 HS4                 (190-25-13)
74ALS30_SOP                      U15                               53   1      7   1   1 11         11 0 HS7                 (190-31-13)
74ALS30_SOP                      U15                               53   1      8   1   1 12         12 0 HS6                 (190-29-13)
74ALS30_SOP                      U15                               53   1      9   2   1 8           8 0 ~DS                 (100-6-13)
74ALS30_SOP                      U15                                0   2      1   1   2 7           7 1 GND                 (91-1-13)
74ALS30_SOP                      U15                                0   3      1   1   3 14         14 1 VCC                 (100-5-13)
74ALS30_SOP                      U15                                0   4      1   1   4 9           9 1                     (0-0-0)
74ALS30_SOP                      U15                                0   4      1   1   5 10         10 1                     (0-0-0)
74ALS30_SOP                      U15                                0   4      1   1   6 13         13 1                     (0-0-0)
74ALS32_SOP                      U18                               65   1      1   1   1 1           1 0 ~DS                 (100-6-13)
74ALS32_SOP                      U18                               65   1      2   1   1 2           2 0 RAMWR1              (100-46-13)
74ALS32_SOP                      U18                               65   1      3   2   1 3           3 0 $1N115              (145-17-13)
74ALS32_SOP                      U18                               62   1      1   1   2 4           4 0 ~DS                 (100-6-13)
74ALS32_SOP                      U18                               62   1      2   1   2 5           5 0 RAMWR0              (100-45-13)
74ALS32_SOP                      U18                               62   1      3   2   2 6           6 0 $1N29_8             (144-20-13)
74ALS32_SOP                      U18                               63   1      1   1   3 9           9 0 ~DS                 (100-6-13)
74ALS32_SOP                      U18                               63   1      2   1   3 10         10 0 RAMWR0              (100-45-13)
74ALS32_SOP                      U18                               63   1      3   2   3 8           8 0 $1N29               (144-19-13)
74ALS32_SOP                      U18                               64   1      1   1   4 12         12 0 ~DS                 (100-6-13)
74ALS32_SOP                      U18                               64   1      2   1   4 13         13 0 RAMWR1              (100-46-13)
74ALS32_SOP                      U18                               64   1      3   2   4 11         11 0 $1N115_8            (145-18-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
74ALS32_SOP                      U18                                0   2      1   1   5 7           7 1 GND                 (91-1-13)
74ALS32_SOP                      U18                                0   3      1   1   6 14         14 1 VCC                 (100-5-13)
74ALS49_SOP                      U17                               36   1      1   1   1 3           3 0 ~RAMRD              (100-51-13)
74ALS49_SOP                      U17                               36   1      2   2   1 5           5 0 Q0                  (208-5-13)
74ALS49_SOP                      U17                               36   1      3   3   1 1           1 0 Q1                  (208-4-13)
74ALS49_SOP                      U17                               36   1      4   4   1 2           2 0 Q2                  (208-3-13)
74ALS49_SOP                      U17                               36   1      5   5   1 4           4 0 Q3                  (208-2-13)
74ALS49_SOP                      U17                               36   1      6   6   1 11         11 0 AMP1_IN             (208-1-13)
74ALS49_SOP                      U17                               36   1      7   7   1 10         10 0 AMP2_IN             (208-14-13)
74ALS49_SOP                      U17                               36   1      8   8   1 9           9 0 BANK0               (100-43-13)
74ALS49_SOP                      U17                               36   1      9   9   1 8           8 0 BANK1               (100-44-13)
74ALS49_SOP                      U17                               36   1     10  10   1 6           6 0 RAMWR0              (100-45-13)
74ALS49_SOP                      U17                               36   1     11  11   1 13         13 0 RAMWR1              (100-46-13)
74ALS49_SOP                      U17                               36   1     12  12   1 12         12 0                     (0-0-0)
74ALS49_SOP                      U17                                0   2      1   1   2 7           7 1 GND                 (91-1-13)
74ALS49_SOP                      U17                                0   3      1   1   3 14         14 1 VCC                 (100-5-13)
74ALS187_DIP                     U5                                37   1      1   1   1 5           5 0 DA0                 (100-35-13)
74ALS187_DIP                     U5                                37   1      2   2   1 6           6 0 DA1                 (100-36-13)
74ALS187_DIP                     U5                                37   1      3   3   1 7           7 0 DA2                 (100-37-13)
74ALS187_DIP                     U5                                37   1      4   4   1 4           4 0 DA3                 (100-38-13)
74ALS187_DIP                     U5                                37   1      5   5   1 3           3 0 DA4                 (100-39-13)
74ALS187_DIP                     U5                                37   1      6   6   1 2           2 0 DA5                 (100-40-13)
74ALS187_DIP                     U5                                37   1      7   7   1 1           1 0 DA6                 (100-41-13)
74ALS187_DIP                     U5                                37   1      8   8   1 15         15 0 DA7                 (100-42-13)
74ALS187_DIP                     U5                                37   1      9   9   1 13         13 0 DP1_POS             (208-7-13)
74ALS187_DIP                     U5                                37   1     10  10   1 14         14 0 DP1_NEG             (208-6-13)
74ALS187_DIP                     U5                                37   1     11  11   1 12         12 0 Q0                  (208-5-13)
74ALS187_DIP                     U5                                37   1     12  12   1 11         11 0 Q1                  (208-4-13)
74ALS187_DIP                     U5                                37   1     13  13   1 10         10 0 Q2                  (208-3-13)
74ALS187_DIP                     U5                                37   1     14  14   1 9           9 0 Q3                  (208-2-13)
74ALS187_DIP                     U5                                 0   2      1   1   2 16         16 1 VCC                 (100-5-13)
74ALS187_DIP                     U5                                 0   3      1   1   3 8           8 1 GND                 (91-1-13)
74ALS240_SOP                     U16                               49   1      1   1   1 18         18 0 HS4                 (190-25-13)
74ALS240_SOP                     U16                               49   1      2   2   1 16         16 0 HS5                 (190-27-13)
74ALS240_SOP                     U16                               49   1      3   3   1 14         14 0 HS6                 (190-29-13)
74ALS240_SOP                     U16                               49   1      4   4   1 12         12 0 HS7                 (190-31-13)
74ALS240_SOP                     U16                               49   1      5   5   1 8           8 0 DA0                 (100-35-13)
74ALS240_SOP                     U16                               49   1      6   6   1 6           6 0 DA7                 (100-42-13)
74ALS240_SOP                     U16                               49   1      7   7   1 4           4 0 DA6                 (100-41-13)
74ALS240_SOP                     U16                               49   1      8   8   1 2           2 0 DA5                 (100-40-13)
74ALS240_SOP                     U16                               49   1      9   9   1 1           1 0 $1N47               (190-13-13)
74ALS240_SOP                     U16                               50   1      1   1   2 9           9 0 HS0                 (190-17-13)
74ALS240_SOP                     U16                               50   1      2   2   2 7           7 0 HS1                 (190-19-13)
74ALS240_SOP                     U16                               50   1      3   3   2 5           5 0 HS2                 (190-21-13)
74ALS240_SOP                     U16                               50   1      4   4   2 3           3 0 HS3                 (190-33-13)
74ALS240_SOP                     U16                               50   1      5   5   2 17         17 0 DA4                 (100-39-13)
74ALS240_SOP                     U16                               50   1      6   6   2 15         15 0 DA2                 (100-37-13)
74ALS240_SOP                     U16                               50   1      7   7   2 13         13 0 DA1                 (100-36-13)
74ALS240_SOP                     U16                               50   1      8   8   2 11         11 0 DA0                 (100-35-13)
74ALS240_SOP                     U16                               50   1      9   9   2 19         19 0 $1N45               (190-11-13)
74ALS240_SOP                     U16                                0   4      1   1   3 10         10 1 GND                 (91-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
74ALS240_SOP                     U16                                0   5      1   1   4 20         20 1 VCC                 (100-5-13)
74ALS655_SOP                     U9                                69   1      1   1   1 1           1 0 $1N29               (144-19-13)
74ALS655_SOP                     U9                                69   1      2   1   1 2           2 0 ~RAMRD              (100-51-13)
74ALS655_SOP                     U9                                69   1      3   1   1 23         23 0 WR1                 (100-48-13)
74ALS655_SOP                     U9                                69   1      4   2   1 3           3 0 BANK1               (100-44-13)
74ALS655_SOP                     U9                                69   1      5   3   1 4           4 0 A0                  (100-27-13)
74ALS655_SOP                     U9                                69   1      6   4   1 5           5 0 A1                  (100-28-13)
